,address,zipcode,total_docks,kioskId,2019-06-07 18:07,2019-06-07 18:08,2019-06-07 18:09,2019-06-07 18:10,2019-06-07 18:53,2019-06-07 18:54,2019-06-07 18:55,2019-06-07 18:56,2019-06-07 18:57,2019-06-07 18:58,2019-06-07 18:59,2019-06-07 19:00,2019-06-07 19:01,2019-06-07 19:02,2019-06-07 19:03,2019-06-07 19:04,2019-06-07 19:05,2019-06-07 19:06,2019-06-07 19:07,2019-06-07 19:08,2019-06-07 19:09,2019-06-07 19:10,2019-06-07 19:11,2019-06-07 19:13,2019-06-07 19:14,2019-06-07 19:15,2019-06-07 19:16,2019-06-07 19:17,2019-06-07 19:18,2019-06-07 19:19,2019-06-07 19:20,2019-06-07 19:21,2019-06-07 19:22,2019-06-07 19:23,2019-06-07 19:24,2019-06-07 19:25,2019-06-07 19:26,2019-06-07 19:27,2019-06-07 19:28,2019-06-07 19:29,2019-06-07 19:30,2019-06-07 19:31,2019-06-07 19:32,2019-06-07 19:33,2019-06-07 19:34,2019-06-07 19:35,2019-06-07 19:36,2019-06-07 19:37,2019-06-07 19:38,2019-06-07 19:39,2019-06-07 19:40,2019-06-07 19:41,2019-06-07 19:42,2019-06-07 19:43,2019-06-07 19:44,2019-06-07 19:45,2019-06-07 19:46,2019-06-07 19:47,2019-06-07 19:48,2019-06-07 19:49,2019-06-07 19:50,2019-06-07 19:51,2019-06-07 19:52,2019-06-07 19:53
0,1401 John F. Kennedy Blvd.,19102,30,3004,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1,191 S. 2nd St.,19106,13,3005,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
2,246 S. 40th St.,19104,17,3006,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,328 S. 11th St.,19107,15,3007,13,13,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8
4,1076 Berks Street,19122,19,3008,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,3318 Market St.,19104,14,3009,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
6,1483 Spruce St.,19102,22,3010,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5
7,3788 Powelton Avenue,19104,22,3011,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,807 S. 21st St.,19149,27,3012,6,6,5,4,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6
9,674 N. 6th St.,19123,15,3013,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10,2090 Winter St.,19103,25,3014,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
11,422 Walnut St.,19106,11,3015,2,2,2,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1100 Poplar St.,19123,15,3016,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
13,527 W. Berks St.,19122,15,3017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
14,1200 Filbert St.,19107,18,3018,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
15,160 N. 6th St.,19106,15,3019,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
