,address,zipcode,total_docks,kioskId,2019-06-08 16:16,2019-06-08 16:21,2019-06-08 16:26,2019-06-08 16:31,2019-06-08 16:36,2019-06-08 16:41,2019-06-08 16:46,2019-06-08 16:51,2019-06-08 16:56,2019-06-08 17:01,2019-06-08 17:06,2019-06-08 17:11,2019-06-08 17:16,2019-06-08 17:21,2019-06-08 17:26,2019-06-08 17:31,2019-06-08 17:36,2019-06-08 17:41,2019-06-08 17:46,2019-06-08 17:51,2019-06-08 17:56,2019-06-08 18:01,2019-06-08 18:06,2019-06-08 18:11,2019-06-08 18:16,2019-06-08 18:21,2019-06-08 18:26,2019-06-08 18:31,2019-06-08 18:36,2019-06-08 18:41,2019-06-08 18:46,2019-06-08 18:51,2019-06-08 18:56,2019-06-08 19:01,2019-06-08 19:06,2019-06-08 19:11,2019-06-08 19:16,2019-06-08 19:21,2019-06-08 19:26,2019-06-08 19:31,2019-06-08 19:36,2019-06-08 19:41,2019-06-08 19:47,2019-06-08 19:52,2019-06-08 19:57,2019-06-08 20:02,2019-06-08 20:07,2019-06-08 20:12,2019-06-08 20:17,2019-06-08 20:22,2019-06-08 20:27,2019-06-08 20:32,2019-06-08 20:37,2019-06-08 20:42,2019-06-08 20:47,2019-06-08 20:52
0,1401 John F. Kennedy Blvd.,19102,30,3004,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11
1,191 S. 2nd St.,19106,13,3005,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,10,10,10,10,11,11,11,11,11,11,11,11
2,246 S. 40th St.,19104,17,3006,4,7,8,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,8,7,7,7,6,5,5,5,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4
3,328 S. 11th St.,19107,15,3007,10,10,10,10,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,11,11,12,12,12,12,12,12
4,1076 Berks Street,19122,19,3008,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5,3318 Market St.,19104,14,3009,7,7,7,7,7,7,7,7,7,7,6,6,6,5,2,2,2,1,1,2,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,1,1,1,1,1,2,2,2,3,3,3
6,1483 Spruce St.,19102,22,3010,1,1,1,1,1,1,1,4,4,5,5,5,5,5,6,6,6,6,6,6,5,4,4,3,3,3,3,3,3,2,2,2,2,3,3,3,3,1,1,1,2,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2
7,3788 Powelton Avenue,19104,22,3011,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7
8,807 S. 21st St.,19149,27,3012,9,9,9,11,10,10,10,10,10,10,10,10,9,6,5,5,5,5,5,6,6,6,7,8,8,8,8,9,9,9,9,8,8,8,8,8,8,8,10,10,9,9,7,7,7,9,9,9,10,10,10,11,11,11,11,11
9,674 N. 6th St.,19123,15,3013,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
10,2090 Winter St.,19103,25,3014,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,3
11,422 Walnut St.,19106,11,3015,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,9,8,8,7,7,7,8,7,6,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10
12,1100 Poplar St.,19123,15,3016,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
13,527 W. Berks St.,19122,15,3017,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
14,1200 Filbert St.,19107,18,3018,11,11,11,11,11,13,13,13,10,9,9,9,9,8,8,8,11,14,14,13,12,11,10,8,9,8,8,8,8,8,8,8,7,7,7,7,7,7,6,6,4,4,4,4,4,4,4,6,6,6,6,6,6,7,6,6
15,160 N. 6th St.,19106,15,3019,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15
16,3051 South St.,19147,35,3020,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1750 John F. Kennedy Blvd.,19103,34,3021,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6
18,2933 Market Street,19104,21,3022,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3
19,598 S. 43rd St.,19104,19,3024,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,5,5,5,5,5,5,5,6,5,5,5,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
20,1084 Washington Ave.,19147,15,3025,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,523 S. 2nd St.,19147,17,3026,16,16,16,16,16,16,16,16,16,15,15,14,14,14,14,14,14,14,14,16,15,14,14,17,17,17,17,16,16,15,15,15,15,16,16,15,15,13,13,13,13,13,10,10,10,10,10,10,10,10,11,11,12,11,11,11
22,3984 Market St.,19104,15,3027,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1
23,404 Bainbridge St.,19147,15,3028,9,8,10,10,9,7,3,3,4,4,4,4,4,3,3,5,5,5,5,5,5,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8
24,125 S. 36th St.,19104,17,3029,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,5,6,6,6,6,6,7,8,7,7,7,7,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9
